ablation,param,value,best_val_mse
dropout,dropout_p,0.1,0.4190372824668884
dropout,dropout_p,0.3,0.4723837077617645
dropout,dropout_p,0.5,0.5344449281692505
l2,weight_decay,1e-06,0.30386972427368164
l2,weight_decay,1e-05,0.3110467493534088
l2,weight_decay,0.0001,0.3080909848213196
l1,l1_lambda,1e-07,0.30580106377601624
l1,l1_lambda,1e-06,0.30911773443222046
l1,l1_lambda,1e-05,0.31043192744255066
momentum,momentum,0.5,0.41628286242485046
momentum,momentum,0.7,0.4041668772697449
momentum,momentum,0.9,0.700737714767456
