hidden_sizes,lr,n_params,final_train_mse,final_val_mse,best_val_mse
"(8,)",0.1,25,0.3576210532337427,0.793682873249054,0.6284406185150146
"(8,)",0.05,25,0.27155259624123573,0.7116667032241821,0.6004622578620911
"(8,)",0.01,25,0.24054112657904625,0.6380247473716736,0.6247273087501526
"(16,)",0.1,49,0.2730410173535347,0.6740520596504211,0.6130930781364441
"(16,)",0.05,49,0.26560303568840027,0.6353183388710022,0.593723475933075
"(16,)",0.01,49,0.22807058319449425,0.6186382174491882,0.6148675680160522
"(32,)",0.1,97,0.2601761892437935,0.7830826044082642,0.5815374255180359
"(32,)",0.05,97,0.23313920572400093,0.7056083679199219,0.5684127807617188
"(32,)",0.01,97,0.24086599051952362,0.6018186211585999,0.5889816880226135
"(16, 16)",0.1,321,0.12844789400696754,0.46538811922073364,0.416776180267334
"(16, 16)",0.05,321,0.13673528097569942,0.529984712600708,0.4649982452392578
"(16, 16)",0.01,321,0.21586408466100693,0.5795391798019409,0.5721673965454102
"(32, 16)",0.1,609,0.16089025884866714,0.5226849913597107,0.45179513096809387
"(32, 16)",0.05,609,0.13852076046168804,0.5341301560401917,0.47801876068115234
"(32, 16)",0.01,609,0.20855221152305603,0.6364671587944031,0.5820327997207642
"(64, 64)",0.1,4353,0.07856614328920841,0.4755222201347351,0.3118145167827606
"(64, 64)",0.05,4353,0.072760128416121,0.46203839778900146,0.3273308575153351
"(64, 64)",0.01,4353,0.1881355307996273,0.648713231086731,0.5556835532188416
